epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.644,2.12864,2.82338,1.43077,0.40367,0.42393,0.3271,0.13174,2.19141,2.23455,1.56314,0.000666301,0.000666301,0.000666301
2,728.515,2.00617,1.8132,1.41341,0.40634,0.45366,0.31532,0.11527,2.3784,2.35653,1.69283,0.000893088,0.000893088,0.000893088
3,1082.39,1.94749,1.62708,1.3746,0.47402,0.50436,0.3829,0.1402,2.31866,2.13487,1.67408,0.000679876,0.000679876,0.000679876
